GHG emissions (excl. LULUCF),MtCO2eq GWP AR6,NDCs as of 18th November 2021,,,,,
Lebanon,11,24.6,24.5,28.2,25.8,31.2,27
Lesotho,3.5,4.7,4.8,5.8,4.8,6.6,4.8
Liberia,1.7,3.2,4.7,8.2,4.9,12.8,5.1
Libya,89.3,105.4,66.8,85.3,85.3,99.9,99.9
Liechtenstein,0.2,0.2,0.2,0.2,0.2,0.1,0.1
Lithuania,48.2,21,20.6,19.6,19.6,18.7,18.7
Luxembourg,12.8,12.3,10.8,9.2,9.2,7.9,7.9
Madagascar,22.1,31,32.9,31.2,27.7,29.8,23.5
Malawi,5.5,9.4,14.3,19.9,17,25.3,20
Malaysia,83,283.3,360.5,343.9,343.9,330,330
Maldives,0.2,1,1.7,1.8,0.8,2,0.1
Mali,10,51.9,70.6,84.9,73.6,98.2,73.7
Malta,2.6,3,2.3,1.9,1.9,1.5,1.5
Marshall Islands,0.1,0.2,0.2,0.1,0.1,0.1,0.1
Mauritania,4.2,7.9,11.5,14.5,7,17.5,3.4
Mauritius,2.3,5.2,6.2,6.9,5.3,7.4,4.5
Mexico,481.6,698.6,714.1,805.6,729.9,882,743.2
Micronesia (Federated States of),0.1,0.2,0.3,0.2,0.2,0.1,0.1
Monaco,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Mongolia,24,26.5,56,58.6,56.7,60.8,57.3
Montenegro,5.5,4.2,3.8,3.6,3.6,3.5,3.5
Morocco,39.8,94.1,105.1,106.8,85.4,108.2,69.1
Mozambique,20.8,30.2,45.3,64.3,64.3,86.9,86.9
Myanmar,31.3,57.3,85.9,85.6,81.2,87.2,79.1
Namibia,12.5,14,12,10.6,9.8,9.5,7.9
Nauru,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Nepal,24.8,36.8,51.1,54.6,54.6,64.6,64.6
Netherlands,223.7,213.9,182,145,145,114.2,114.2
New Zealand,67.7,81.1,85.2,69.1,69.1,55.6,55.6
Nicaragua,10.8,15.6,20.7,27.1,27.1,34.6,34.6
Niger,6.2,18.8,29,39.9,39.9,54.6,54.6
Nigeria,151.9,295.6,343.7,362.9,294.1,380.2,254
Niue,0,0,0,0,0,0,0
Norway,52.8,56,51,37.6,36.2,26.4,23.8
Oman,36.1,90.2,128.2,142.5,142.5,154.3,154.3
Pakistan,203.8,382.2,528.9,540.1,540.1,600.8,600.8
Palau,0.3,0.4,0.4,0.4,0.4,0.3,0.3
Panama,6.9,14.6,18.5,25.9,24.5,31.9,29.4
Papua New Guinea,6.4,11,20.4,21.2,15.6,24.3,12.2
Paraguay,23.5,36.1,42.8,57.4,55.2,72.4,65.5
Peru,55.1,87.7,102.8,110.1,93.8,116.2,86.4
Philippines,112.4,181.4,255.8,285,81.9,335,- 58.4
Poland,480.7,417.8,393.2,324.2,324.2,266.6,266.6
Portugal,59.6,70.2,65.1,62.2,62.2,59.7,59.7
Qatar,17,84,115.2,114.6,114.6,114.1,114.1
Republic of Korea,316.3,659.2,717.6,618.6,618.6,536.1,536.1
Republic of Moldova,28.6,9.9,11.3,12.5,8.1,13.4,5.4
Romania,253.2,118.2,113.7,109.6,109.6,106.2,106.2
Russian Federation,3236.9,2066.7,2193.9,2386.7,2386.7,2601,2601
Rwanda,4,6.3,7.6,9.3,7.9,10.9,8.2
Saint Kitts and Nevis,0.2,0.3,0.3,0.4,0.3,0.4,0.2
Saint Lucia,0.3,0.6,0.6,0.7,0.7,0.8,0.8
