,SSP126_AR6GWP_KyotoGHG,SSP126_AR6GWP_CO2LULUCF,SSP126_AR6GWP_IPCM0EL,SSP119_AR6GWP_KyotoGHG,SSP119_AR6GWP_CO2LULUCF,SSP119_AR6GWP_IPCM0EL,SSP245_AR6GWP_KyotoGHG,SSP245_AR6GWP_CO2LULUCF,SSP245_AR6GWP_IPCM0EL,SSP126_CH4,SSP119_CH4,SSP245_CH4
1763,991.4073384,377.0148097,614.3925287,991.4073384,377.0148097,614.3925287,991.4073384,377.0148097,614.3925287,20.54517934,20.54517934,20.54517934
1764,990.9823716,383.9507963,607.0315753,990.9823716,383.9507963,607.0315753,990.9823716,383.9507963,607.0315753,20.26091721,20.26091721,20.26091721
1765,1016.991438,391.0143851,625.9770531,1016.991438,391.0143851,625.9770531,1016.991438,391.0143851,625.9770531,20.919155,20.919155,20.919155
1766,1024.225929,398.2079236,626.0180049,1024.225929,398.2079236,626.0180049,1024.225929,398.2079236,626.0180049,20.8535919,20.8535919,20.8535919
1767,1036.216325,405.5338025,630.6825228,1036.216325,405.5338025,630.6825228,1036.216325,405.5338025,630.6825228,20.99917946,20.99917946,20.99917946
1768,1062.71252,412.9944564,649.7180633,1062.71252,412.9944564,649.7180633,1062.71252,412.9944564,649.7180633,21.65945211,21.65945211,21.65945211
1769,1066.384926,420.5923649,645.7925608,1066.384926,420.5923649,645.7925608,1066.384926,420.5923649,645.7925608,21.49633535,21.49633535,21.49633535
1770,1078.611744,428.330053,650.2816914,1078.611744,428.330053,650.2816914,1078.611744,428.330053,650.2816914,21.63439757,21.63439757,21.63439757
1771,1082.75332,436.2100923,646.5432276,1082.75332,436.2100923,646.5432276,1082.75332,436.2100923,646.5432276,21.4289211,21.4289211,21.4289211
1772,1090.482573,444.2351017,646.2474713,1090.482573,444.2351017,646.2474713,1090.482573,444.2351017,646.2474713,21.39461572,21.39461572,21.39461572
1773,1104.926178,452.4077481,652.5184302,1104.926178,452.4077481,652.5184302,1104.926178,452.4077481,652.5184302,21.59523139,21.59523139,21.59523139
1774,1132.474501,460.7307476,671.7437536,1132.474501,460.7307476,671.7437536,1132.474501,460.7307476,671.7437536,22.25970773,22.25970773,22.25970773
1775,1140.010975,469.2068664,670.8041085,1140.010975,469.2068664,670.8041085,1140.010975,469.2068664,670.8041085,22.20096329,22.20096329,22.20096329
