model,region,scenario,unit,variable,1980-01-01 00:00:00,1981-01-01 00:00:00,1982-01-01 00:00:00,1983-01-01 00:00:00,1984-01-01 00:00:00,1985-01-01 00:00:00,1986-01-01 00:00:00,1987-01-01 00:00:00,1988-01-01 00:00:00,1989-01-01 00:00:00,1990-01-01 00:00:00,1991-01-01 00:00:00,1992-01-01 00:00:00,1993-01-01 00:00:00,1994-01-01 00:00:00,1995-01-01 00:00:00,1996-01-01 00:00:00,1997-01-01 00:00:00,1998-01-01 00:00:00,1999-01-01 00:00:00,2000-01-01 00:00:00,2001-01-01 00:00:00,2002-01-01 00:00:00,2003-01-01 00:00:00,2004-01-01 00:00:00,2005-01-01 00:00:00,2006-01-01 00:00:00,2007-01-01 00:00:00,2008-01-01 00:00:00,2009-01-01 00:00:00,2010-01-01 00:00:00,2011-01-01 00:00:00,2012-01-01 00:00:00,2013-01-01 00:00:00,2014-01-01 00:00:00,2015-01-01 00:00:00,2016-01-01 00:00:00,2017-01-01 00:00:00,2018-01-01 00:00:00,2019-01-01 00:00:00,2020-01-01 00:00:00,2021-01-01 00:00:00,2022-01-01 00:00:00,2023-01-01 00:00:00,2024-01-01 00:00:00,2025-01-01 00:00:00,2026-01-01 00:00:00,2027-01-01 00:00:00,2028-01-01 00:00:00,2029-01-01 00:00:00,2030-01-01 00:00:00,2031-01-01 00:00:00,2032-01-01 00:00:00,2033-01-01 00:00:00,2034-01-01 00:00:00,2035-01-01 00:00:00,2036-01-01 00:00:00,2037-01-01 00:00:00,2038-01-01 00:00:00,2039-01-01 00:00:00,2040-01-01 00:00:00,2041-01-01 00:00:00,2042-01-01 00:00:00,2043-01-01 00:00:00,2044-01-01 00:00:00,2045-01-01 00:00:00,2046-01-01 00:00:00,2047-01-01 00:00:00,2048-01-01 00:00:00,2049-01-01 00:00:00,2050-01-01 00:00:00
NDC Factsheet,World,Adjusted NDCs FOLU (SSP1-1.9),Gt CO2 / yr,Emissions|FOLU,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.3,4.2,4.2,4.2,3.9,5.5,4.4,4.1,4.5,4.3,4.3,4.1,4.4,5.1,5.4,4.6,4.2,4.0,4.0,3.0,3.0,3.0,3.0,3.2,3.2,3.3,3.8,3.7,3.6,3.6,3.5,3.4,3.3,3.2,3.1,3.0,2.9,2.8,2.8,2.7,2.6,2.0,1.8,1.5,1.3,1.0,0.8,0.5,0.3,0.0,-0.2,-0.4,-0.5,-0.7,-0.8,-1.0,-1.2,-1.3,-1.5,-1.6,-1.8
NDC Factsheet,World,Adjusted NDCs FOLU (SSP1-2.6),Gt CO2 / yr,Emissions|FOLU,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.4,4.3,4.3,4.3,4.0,5.6,4.5,4.2,4.6,4.4,4.4,4.2,4.5,5.2,5.5,4.7,4.3,4.1,4.1,3.1,3.1,3.1,3.2,3.4,3.3,3.5,3.9,3.9,3.8,3.8,3.7,3.7,3.6,3.5,3.5,3.4,3.4,3.3,3.3,3.2,3.2,2.7,2.6,2.4,2.2,2.1,1.9,1.8,1.6,1.4,1.3,1.1,0.9,0.8,0.6,0.4,0.2,0.0,-0.1,-0.3,-0.5
NDC Factsheet,World,Adjusted NDCs FOLU (SSP2-4.5),Gt CO2 / yr,Emissions|FOLU,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.3,4.2,4.2,4.2,3.9,5.5,4.4,4.1,4.5,4.3,4.3,4.1,4.4,5.1,5.4,4.6,4.2,4.0,4.0,3.0,3.0,3.0,3.1,3.3,3.2,3.4,3.8,3.8,3.7,3.7,3.6,3.6,3.5,3.5,3.5,3.4,3.4,3.4,3.3,3.3,3.3,2.9,2.9,2.8,2.8,2.7,2.7,2.6,2.6,2.5,2.5,2.4,2.2,2.1,2.0,1.9,1.7,1.6,1.5,1.3,1.2
NDC Factsheet,World,Global Carbon Project,Gt CO2 / yr,Emissions|FOLU,4.389562478,4.445487718,4.450251257,4.563423725,4.687768672,4.749621622,4.836526371,4.913761551,5.021938094,5.101949007,4.982850634,4.940578332,4.948290476,4.954048731,4.930788534,4.895550009,4.833387513,6.557604997,4.570252499,4.510753949,5.053199217,4.888825709,5.503260321,5.668612504,5.549890655,5.19745768,5.484004063,4.809498427,4.976863864,5.869406377,5.341093899,5.065172746,5.447424712,5.622401592,5.796900393092896,5.971399194185793,6.1458979952786885,6.3208748752786885,6.495373676371585,6.669872477464481,6.844371278557377,7.019348158557377,7.193846959650274,7.3683457607431695,7.542844561836066,7.717821441836065,7.892320242928962,8.066819044021859,8.241317845114754,8.416294725114755,8.590793526207651,8.765292327300546,8.939791128393443,9.114768008393444,9.289266809486339,9.463765610579236,9.638264411672132,9.813241291672131,9.987740092765026,10.162238893857925,10.33673769495082,10.511714574950819,10.686213376043716,10.860712177136612,11.035210978229507,11.210187858229508,11.384686659322405,11.5591854604153,11.733684261508197,11.908661141508198,12.083159942601092
NDC Factsheet,World,SSP1-1.9,Gt CO2 / yr,Emissions|FOLU,4.5590688,4.590867967,4.610406533,5.251240133,5.35458,5.495730533,5.607019,5.554162167,5.551983433,5.6144077,5.295479933,5.998185967,6.1674723,5.6678996,5.510289033,5.4456622,5.3874469,8.000636862,5.647810562,4.776350962,4.402238762,3.524472129,3.923348629,3.301819662,3.804476395,3.758465595,4.003930962,3.540631862,2.449088662,2.766155962,3.243438262,3.348037995,3.557037995,3.366371329,4.015371329,3.51744,3.449108938,3.380590668,3.312259606,3.243928544,3.175597482,2.894733268,2.614636443,2.334539618,2.054442793,1.773578579,1.493481753,1.213384928,0.933288103,0.652423889,0.372327064,0.47340382,0.574480576,0.675834254,0.77691101,0.877987765,0.979064521,1.0804182,1.181494955,1.282571711,1.383648467,1.163353511,0.943660454,0.723967397,0.50427434,0.283979384,0.064286327,-0.15540673,-0.375099787,-0.595394743,-0.8150878
NDC Factsheet,World,SSP1-2.6,Gt CO2 / yr,Emissions|FOLU,4.5590688,4.590867967,4.610406533,5.251240133,5.35458,5.495730533,5.607019,5.554162167,5.551983433,5.6144077,5.295479933,5.998185967,6.1674723,5.6678996,5.510289033,5.4456622,5.3874469,8.000636862,5.647810562,4.776350962,4.402238762,3.524472129,3.923348629,3.301819662,3.804476395,3.758465595,4.003930962,3.540631862,2.449088662,2.766155962,3.243438262,3.348037995,3.557037995,3.366371329,4.015371329,3.51744,3.449655011,3.38168431,3.313899322,3.246114333,3.178329344,2.878729661,2.579948557,2.281167452,1.982386347,1.682786664,1.38400556,1.085224455,0.78644335,0.486843667,0.18806256299999996,0.130507951,0.072953339,0.015241044000000002,-0.042313568,-0.09986818,-0.157422791,-0.215135087,-0.272689698,-0.33024431,-0.387798922,-0.52514401,-0.662113839,-0.799083667,-0.936053496,-1.073398584,-1.210368413,-1.347338241,-1.48430807,-1.621653158,-1.758622987
NDC Factsheet,World,SSP2-4.5,Gt CO2 / yr,Emissions|FOLU,4.5590688,4.590867967,4.610406533,5.251240133,5.35458,5.495730533,5.607019,5.554162167,5.551983433,5.6144077,5.295479933,5.998185967,6.1674723,5.6678996,5.510289033,5.4456622,5.3874469,8.000636862,5.647810562,4.776350962,4.402238762,3.524472129,3.923348629,3.301819662,3.804476395,3.758465595,4.003930962,3.540631862,2.449088662,2.766155962,3.243438262,3.348037995,3.557037995,3.366371329,4.015371329,3.51744,3.465860463,3.414139611,3.362560074,3.310980537,3.259400999,3.221527088,3.183756658,3.145986228,3.108215797,3.070341886,3.032571456,2.994801026,2.957030595,2.919156684,2.881386254,2.809718079,2.738049905,2.666185379,2.594517204,2.522849029,2.451180855,2.379316329,2.307648154,2.235979979,2.164311804,1.99765359,1.831450726,1.665247861,1.499044997,1.332386783,1.166183919,0.999981054,0.83377819,0.667119976,0.500917111
