model,scenario,label,ambition,conditionality,country_extension,exclude_hot_air,methane_pledges,Category,Category_name,Exceedance Probability 1.5C ,Exceedance Probability 2.0C ,Exceedance Probability 2.5C ,Exceedance Probability 3.0C ,p5 peak warming,p37 peak warming,median peak warming,p67 peak warming,p95 peak warming,p5 year of peak warming,p37 year of peak warming,median year of peak warming,p67 year of peak warming,p95 year of peak warming,p5 warming in 2100,p37 warming in 2100,median warming in 2100,p67 warming in 2100,p95 warming in 2100,harmonization,infilling,climate-models,pipeline
NDC Factsheet,2021-11-09_1__high__C__constant__exclude,A-constant,high,C,constant,exclude,,C4,C4: Below 2°C,0.887,0.362,0.1,0.013,1.39,1.752,1.872,2.03,2.717,2048,2059,2069,2070,2100,1.259,1.661,1.794,1.985,2.711,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),openscm_runner (version: 0.9.1),climate-assessment (version: 0.1.3-fgd+24.g0f1ec01.dirty)
NDC Factsheet,2021-11-09_1__low__U__rate__include,,low,U,rate,include,,C6,C6: Below 3.0°C,0.997,0.87,0.527,0.208,1.822,2.356,2.538,2.771,3.75,2100,2100,2100,2100,2100,1.82,2.356,2.538,2.771,3.75,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),openscm_runner (version: 0.9.1),climate-assessment (version: 0.1.3-fgd+24.g0f1ec01.dirty)
NDC Factsheet,2021-11-09_1__low__C__constant__include,,low,C,constant,include,,C4,C4: Below 2°C,0.918,0.457,0.135,0.03,1.432,1.828,1.961,2.136,2.867,2049,2070,2082,2093,2100,1.364,1.781,1.927,2.119,2.867,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),openscm_runner (version: 0.9.1),climate-assessment (version: 0.1.3-fgd+24.g0f1ec01.dirty)
NDC Factsheet,2021-11-09_1__low__C__rate__exclude,,low,C,rate,exclude,,C5,C5: Below 2.5°C,0.933,0.527,0.17,0.052,1.474,1.892,2.034,2.227,3.001,2059,2093,2093,2094,2100,1.432,1.872,2.025,2.224,3.001,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),openscm_runner (version: 0.9.1),climate-assessment (version: 0.1.3-fgd+24.g0f1ec01.dirty)
NDC Factsheet,2021-11-09_1__low__C__2030__include,d,low,C,2030,include,,C5,C5: Below 2.5°C,0.993,0.823,0.465,0.172,1.764,2.281,2.455,2.682,3.638,2094,2100,2100,2100,2100,1.758,2.281,2.455,2.682,3.638,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),openscm_runner (version: 0.9.1),climate-assessment (version: 0.1.3-fgd+24.g0f1ec01.dirty)
NDC Factsheet,2021-11-09_1__low__C__SSP1BL__exclude,,low,C,SSP1BL,exclude,,C4,C4: Below 2°C,0.92,0.465,0.137,0.03,1.436,1.834,1.974,2.15,2.889,2059,2070,2093,2093,2100,1.376,1.798,1.944,2.137,2.889,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),openscm_runner (version: 0.9.1),climate-assessment (version: 0.1.3-fgd+24.g0f1ec01.dirty)
NDC Factsheet,2021-11-09_1__high__U__constant__include,,high,U,constant,include,,C4,C4: Below 2°C,0.922,0.472,0.137,0.03,1.445,1.841,1.974,2.149,2.887,2049,2070,2082,2093,2100,1.372,1.792,1.939,2.131,2.887,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),openscm_runner (version: 0.9.1),climate-assessment (version: 0.1.3-fgd+24.g0f1ec01.dirty)
NDC Factsheet,2021-11-09_1__high__U__rate__exclude,,high,U,rate,exclude,,C5,C5: Below 2.5°C,0.935,0.523,0.17,0.05,1.473,1.889,2.031,2.224,2.997,2059,2093,2094,2094,2100,1.429,1.868,2.021,2.22,2.997,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),openscm_runner (version: 0.9.1),climate-assessment (version: 0.1.3-fgd+24.g0f1ec01.dirty)
NDC Factsheet,2021-11-09_1__high__C__rate__include,,high,C,rate,include,,C5,C5: Below 2.5°C,0.95,0.555,0.197,0.065,1.503,1.929,2.077,2.273,3.065,2069,2093,2094,2100,2100,1.471,1.916,2.072,2.273,3.065,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),openscm_runner (version: 0.9.1),climate-assessment (version: 0.1.3-fgd+24.g0f1ec01.dirty)
NDC Factsheet,2021-11-09_1__high__U__2030__exclude,e,high,U,2030,exclude,,C6,C6: Below 3.0°C,0.995,0.865,0.517,0.202,1.812,2.343,2.523,2.755,3.723,2100,2100,2100,2100,2100,1.812,2.343,2.523,2.755,3.723,aneris (version: 0.2.0+41.g6ddf6e5),silicone (version: 1.2.1),openscm_runner (version: 0.9.1),climate-assessment (version: 0.1.3-fgd+24.g0f1ec01.dirty)
